# CNY Compensatory (make-up) Working Days
# Source: China State Council annual holiday notices at http://www.gov.cn/
# Format: year,date,comment
# - date: ISO-8601 (YYYY-MM-DD)
# - comment: free text, not parsed
#
# Annual update: append rows for the new year once the State Council notice
# is published (typically November-December of the preceding year).
2020,2020-01-19,New Year's bridge
2020,2020-02-01,Spring Festival bridge
2020,2020-04-26,Labour Day bridge
2020,2020-05-09,Labour Day bridge
2020,2020-06-28,Dragon Boat bridge
2020,2020-09-27,National Day bridge
2020,2020-10-10,National Day bridge
2021,2021-02-07,Spring Festival bridge
2021,2021-02-20,Spring Festival bridge
2021,2021-04-25,Labour Day bridge
2021,2021-05-08,Labour Day bridge
2021,2021-09-18,Mid-Autumn bridge
2021,2021-10-09,National Day bridge
2022,2022-01-29,Spring Festival bridge
2022,2022-04-02,Qingming bridge
2022,2022-04-24,Labour Day bridge
2022,2022-05-07,Labour Day bridge
2022,2022-10-08,National Day bridge
2022,2022-10-09,National Day bridge
2023,2023-01-28,Spring Festival bridge
2023,2023-01-29,Spring Festival bridge
2023,2023-04-23,Labour Day bridge
2023,2023-05-06,Labour Day bridge
2023,2023-06-25,Dragon Boat bridge
2023,2023-10-07,National Day bridge
2023,2023-10-08,National Day bridge
2024,2024-02-04,Spring Festival bridge
2024,2024-02-18,Spring Festival bridge
2024,2024-04-07,Qingming bridge
2024,2024-04-28,Labour Day bridge
2024,2024-05-11,Labour Day bridge
2024,2024-09-14,Mid-Autumn bridge
2024,2024-09-29,National Day bridge
2024,2024-10-12,National Day bridge
2025,2025-01-26,Spring Festival bridge
2025,2025-02-08,Spring Festival bridge
2025,2025-04-27,Labour Day bridge
2025,2025-09-28,National Day bridge
2025,2025-10-11,National Day bridge
2026,2026-01-04,New Year's bridge
2026,2026-02-14,Spring Festival bridge
2026,2026-02-28,Spring Festival bridge
2026,2026-05-09,Labour Day bridge
2026,2026-09-20,National Day bridge
2026,2026-10-10,National Day bridge
