# Hari Raya Puasa (Eid al-Fitr) — Singapore public holiday dates
# Marks the end of Ramadan. The observed date is officially gazetted by the
# Singapore government and follows the local lunar sighting, which may differ
# from tabular Islamic calendar calculations.
#
# 2019–2030: Singapore Ministry of Manpower (MOM) official gazette and
#            MUIS (Majlis Ugama Islam Singapura) announcements.
# 2031–2055: Projected from the Umm al-Qura tabular Islamic calendar
#            (1 Shawwal AH, adjusted to SGT via Singapore's Imkan ar-Rukyah
#            +1-day offset); verify against MUIS/MOM gazette announcements at
#            https://data.gov.sg/collections/691/view as each year is published.
#
# NOTE — 2033: Gregorian year 2033 contains two Eid al-Fitr occurrences
# (~January 4 and ~December 24). Only the first (January) occurrence is recorded
# here. The December occurrence cannot be represented under the single-date-per-
# year-key design. If the design is ever extended to support multiple dates per
# year, the December 2033 occurrence should be added.
#
# Format: year,YYYY-MM-DD,source
#
# 2019–2030: Singapore MOM/MUIS official gazette
2019,2019-06-05,MOM/MUIS gazette
2020,2020-05-24,MOM/MUIS gazette
2021,2021-05-13,MOM/MUIS gazette
2022,2022-05-03,MOM/MUIS gazette
2023,2023-04-21,MOM/MUIS gazette
2024,2024-04-10,MOM/MUIS gazette
2025,2025-03-31,MOM/MUIS gazette
2026,2026-03-20,MOM/MUIS gazette
2027,2027-03-10,MOM/MUIS gazette
2028,2028-02-27,MOM/MUIS gazette
2029,2029-02-16,MOM/MUIS gazette
2030,2030-02-05,MOM/MUIS gazette
# 2031–2055: Umm al-Qura tabular Islamic calendar (1 Shawwal AH, adjusted to SGT
# via Singapore's Imkan ar-Rukyah +1-day offset); verify against MUIS/MOM gazette
# as each year is officially published.
2031,2031-01-25,Umm al-Qura projection
2032,2032-01-15,Umm al-Qura projection
# 2033 records only the January occurrence; ~December 24 cannot be stored (single key per year)
2033,2033-01-04,Umm al-Qura projection (January occurrence only; December occurrence omitted)
2034,2034-12-13,Umm al-Qura projection
2035,2035-12-02,Umm al-Qura projection
2036,2036-11-20,Umm al-Qura projection
2037,2037-11-10,Umm al-Qura projection
2038,2038-10-30,Umm al-Qura projection
2039,2039-10-20,Umm al-Qura projection
2040,2040-10-09,Umm al-Qura projection
2041,2041-09-28,Umm al-Qura projection
2042,2042-09-17,Umm al-Qura projection
2043,2043-09-06,Umm al-Qura projection
2044,2044-08-25,Umm al-Qura projection
2045,2045-08-15,Umm al-Qura projection
2046,2046-08-05,Umm al-Qura projection
2047,2047-07-25,Umm al-Qura projection
2048,2048-07-14,Umm al-Qura projection
2049,2049-07-03,Umm al-Qura projection
2050,2050-06-22,Umm al-Qura projection
2051,2051-06-11,Umm al-Qura projection
2052,2052-05-31,Umm al-Qura projection
2053,2053-05-20,Umm al-Qura projection
2054,2054-05-10,Umm al-Qura projection
2055,2055-04-29,Umm al-Qura projection
