# Kurban Bayramı (Eid al-Adha, 10 Dhu al-Hijjah) — Turkey public holiday dates
# The Feast of Sacrifice.
#
# SOURCE TIERS:
#   2024–2035: Diyanet (Presidency of Religious Affairs) official published dates,
#              sourced directly from vakithesaplama.diyanet.gov.tr's "Dini Günler"
#              (religious days) tables — Diyanet publishes these several years ahead
#              of the current year, not just 1–2 years as previously assumed (see
#              GitHub issue #180 for background). Confirmed against BIST market
#              calendar publications for 2024–2026.
#   2036–2055: Computed via IlmiTakvimCalculator (true lunar conjunction + Ankara
#              sunset visibility rule, calibrated against and exactly reproducing
#              all 24 Diyanet-published dates 2024–2035 — see
#              IlmiTakvimCalculatorTest), used as a best-available projection
#              because Diyanet has not yet published religious-day tables this far
#              ahead. This remains a best-effort approximation, not a guarantee of
#              Diyanet's actual future announcements — Diyanet's real process may
#              involve committee judgment beyond a pure astronomical rule.
#              Verify against Diyanet and BIST official announcements as each year is published.
#              Corrections require a new JAR release — no runtime update mechanism exists.
#
# KNOWN DIVERGENCE — 2026: Diyanet declared 10 Dhu al-Hijjah 1447 as 27 May 2026,
# one day later than the UAE SCA-confirmed date of 26 May 2026 (see eid-al-adha-ae.csv).
# Both tiers are officially confirmed (not projections) — this is the canonical example
# of ilmi takvim vs. Umm al-Qura / moon-sighting divergence. (A previously-recorded 2025
# divergence in this file was found to be a data error — 2025-06-05 is Arefe, the eve of
# Bayram, not the 1st day; Diyanet's own published 1st day is 2025-06-06, matching AE.)
#
# NOTE — 2039: Gregorian year 2039 contains two 10 Dhu al-Hijjah occurrences
# (~January 4 AH 1460 and ~December 24 AH 1461). Only the first (January) occurrence
# is recorded. As a consequence, the 2040 entry falls in December.
#
# Format: year,YYYY-MM-DD,source
2024,2024-06-16,Diyanet official
2025,2025-06-06,Diyanet official
2026,2026-05-27,Diyanet official
2027,2027-05-16,Diyanet official
2028,2028-05-05,Diyanet official
2029,2029-04-24,Diyanet official
2030,2030-04-13,Diyanet official
2031,2031-04-02,Diyanet official
2032,2032-03-22,Diyanet official
2033,2033-03-11,Diyanet official
2034,2034-03-01,Diyanet official
2035,2035-02-18,Diyanet official
# 2036–2055: ilmi takvim calculation; verify against Diyanet announcements as published
2036,2036-02-07,ilmi takvim calculation
2037,2037-01-26,ilmi takvim calculation
2038,2038-01-15,ilmi takvim calculation
# 2039: two 10 Dhu al-Hijjah occurrences in one Gregorian year (per the underlying
# astronomical model); only the earlier (January) occurrence is recorded, consistent
# with the 2033/2034 Eid al-Fitr convention documented in eid-al-fitr-tr.csv
2039,2039-01-05,ilmi takvim calculation (January occurrence only; December occurrence omitted)
# 2040: falls in December because the January slot was consumed by 2039's double-occurrence
2040,2040-12-14,ilmi takvim calculation
2041,2041-12-04,ilmi takvim calculation
2042,2042-11-23,ilmi takvim calculation
2043,2043-11-12,ilmi takvim calculation
2044,2044-10-31,ilmi takvim calculation
2045,2045-10-20,ilmi takvim calculation
2046,2046-10-10,ilmi takvim calculation
2047,2047-09-30,ilmi takvim calculation
2048,2048-09-18,ilmi takvim calculation
2049,2049-09-07,ilmi takvim calculation
2050,2050-08-27,ilmi takvim calculation
2051,2051-08-16,ilmi takvim calculation
2052,2052-08-05,ilmi takvim calculation
2053,2053-07-26,ilmi takvim calculation
2054,2054-07-15,ilmi takvim calculation
2055,2055-07-05,ilmi takvim calculation
