# Eid al-Fitr (1 Shawwal) — Saudi Arabia public holiday dates
# Marks the end of Ramadan. The observed date follows the official Saudi Arabia
# moon-sighting ruling (Umm al-Qura calendar) and may differ by ±1 day from UAE.
#
# 2024–2026: Saudi Exchange (Tadawul) / SAMA official holiday announcements.
# 2027–2055: Projected from the Umm al-Qura tabular Islamic calendar (1 Shawwal AH).
#            Verify against official Tadawul/SAMA announcements as each year is published.
#
# NOTE — 2033: Gregorian year 2033 contains two Eid al-Fitr occurrences
# (~January 3 and ~December 22). Only the first (January) occurrence is recorded
# here. The December occurrence cannot be represented under the single-date-per-
# year-key design.
#
# Format: year,YYYY-MM-DD,source
2024,2024-04-10,Tadawul official
2025,2025-03-30,Tadawul official
2026,2026-03-19,Tadawul official
# 2027–2055: Umm al-Qura tabular projection; verify against official announcements
2027,2027-03-09,Umm al-Qura projection
2028,2028-02-26,Umm al-Qura projection
2029,2029-02-15,Umm al-Qura projection
2030,2030-02-04,Umm al-Qura projection
2031,2031-01-24,Umm al-Qura projection
2032,2032-01-14,Umm al-Qura projection
# 2033: two Eid al-Fitr occurrences (~Jan 3 and ~Dec 22); only January recorded
2033,2033-01-03,Umm al-Qura projection (January occurrence only; December occurrence omitted)
2034,2034-12-12,Umm al-Qura projection
2035,2035-12-01,Umm al-Qura projection
2036,2036-11-19,Umm al-Qura projection
2037,2037-11-09,Umm al-Qura projection
2038,2038-10-29,Umm al-Qura projection
2039,2039-10-19,Umm al-Qura projection
2040,2040-10-08,Umm al-Qura projection
2041,2041-09-27,Umm al-Qura projection
2042,2042-09-16,Umm al-Qura projection
2043,2043-09-05,Umm al-Qura projection
2044,2044-08-24,Umm al-Qura projection
2045,2045-08-14,Umm al-Qura projection
2046,2046-08-04,Umm al-Qura projection
2047,2047-07-24,Umm al-Qura projection
2048,2048-07-13,Umm al-Qura projection
2049,2049-07-02,Umm al-Qura projection
2050,2050-06-21,Umm al-Qura projection
2051,2051-06-10,Umm al-Qura projection
2052,2052-05-30,Umm al-Qura projection
2053,2053-05-19,Umm al-Qura projection
2054,2054-05-09,Umm al-Qura projection
2055,2055-04-28,Umm al-Qura projection
