# Ramazan Bayramı (Eid al-Fitr, 1 Shawwal) — Turkey public holiday dates
# Marks the end of Ramadan.
#
# SOURCE TIERS:
#   2024–2035: Diyanet (Presidency of Religious Affairs) official published dates,
#              sourced directly from vakithesaplama.diyanet.gov.tr's "Dini Günler"
#              (religious days) tables — Diyanet publishes these several years ahead
#              of the current year, not just 1–2 years as previously assumed (see
#              GitHub issue #180 for background). Confirmed against BIST market
#              calendar publications for 2024–2026.
#   2036–2055: Computed via IlmiTakvimCalculator (true lunar conjunction + Ankara
#              sunset visibility rule, calibrated against and exactly reproducing
#              all 24 Diyanet-published dates 2024–2035 — see
#              IlmiTakvimCalculatorTest), used as a best-available projection
#              because Diyanet has not yet published religious-day tables this far
#              ahead. This remains a best-effort approximation, not a guarantee of
#              Diyanet's actual future announcements — Diyanet's real process may
#              involve committee judgment beyond a pure astronomical rule.
#              Verify against Diyanet and BIST official announcements as each year is published.
#              Corrections require a new JAR release — no runtime update mechanism exists.
#
# NOTE — 2033: Gregorian year 2033 contains two Eid al-Fitr occurrences, per Diyanet's
# own published table: 2 January 2033 and 23 December 2033. Only the first (January)
# occurrence is recorded here. The December occurrence cannot be represented under the
# single-date-per-year-key design.
#
# Format: year,YYYY-MM-DD,source
2024,2024-04-10,Diyanet official
2025,2025-03-30,Diyanet official
2026,2026-03-20,Diyanet official
2027,2027-03-09,Diyanet official
2028,2028-02-26,Diyanet official
2029,2029-02-14,Diyanet official
2030,2030-02-04,Diyanet official
2031,2031-01-24,Diyanet official
2032,2032-01-14,Diyanet official
# 2033: two Eid al-Fitr occurrences (2 January and 23 December); only January recorded
2033,2033-01-02,Diyanet official (January occurrence only; December occurrence omitted)
2034,2034-12-12,Diyanet official
2035,2035-12-01,Diyanet official
# 2036–2055: ilmi takvim calculation; verify against Diyanet announcements as published
2036,2036-11-19,ilmi takvim calculation
2037,2037-11-08,ilmi takvim calculation
2038,2038-10-29,ilmi takvim calculation
2039,2039-10-19,ilmi takvim calculation
2040,2040-10-07,ilmi takvim calculation
2041,2041-09-26,ilmi takvim calculation
2042,2042-09-15,ilmi takvim calculation
2043,2043-09-04,ilmi takvim calculation
2044,2044-08-24,ilmi takvim calculation
2045,2045-08-14,ilmi takvim calculation
2046,2046-08-03,ilmi takvim calculation
2047,2047-07-24,ilmi takvim calculation
2048,2048-07-12,ilmi takvim calculation
2049,2049-07-01,ilmi takvim calculation
2050,2050-06-20,ilmi takvim calculation
2051,2051-06-10,ilmi takvim calculation
2052,2052-05-29,ilmi takvim calculation
2053,2053-05-19,ilmi takvim calculation
2054,2054-05-09,ilmi takvim calculation
2055,2055-04-28,ilmi takvim calculation
