# Islamic New Year (1 Muharram) — Bahrain public holiday dates
# First day of the Islamic lunar year.
#
# Bahrain observes moon-sighting independently of Saudi Arabia and may differ by ±1 day
# from Umm al-Qura tabular dates.
#
# 2024–2025: CBB / Boursa Bahrain official holiday announcements; aligned with GCC
#            consensus in both years.
# 2026:      Umm al-Qura tabular projection; verify against official CBB / Boursa
#            Bahrain announcement for 2026.
# 2027–2055: Projected from the Umm al-Qura tabular Islamic calendar (1 Muharram AH).
#            Verify against official CBB / Boursa Bahrain announcements as each year
#            is published.
#
# NOTE — 2040: Gregorian year 2040 contains two 1 Muharram occurrences
# (~January 9 AH 1462 and ~December 29 AH 1463). Only the first (January) occurrence
# is recorded. The Ashura derived from the December occurrence (January 7, 2041)
# falls in 2041 and is captured there.
#
# Format: year,YYYY-MM-DD,source
2024,2024-07-07,CBB official
2025,2025-06-26,CBB official
2026,2026-06-16,Umm al-Qura projection
# 2027–2055: Umm al-Qura tabular projection; verify against official CBB / Boursa Bahrain announcements
2027,2027-06-04,Umm al-Qura projection
2028,2028-05-23,Umm al-Qura projection
2029,2029-05-12,Umm al-Qura projection
2030,2030-05-01,Umm al-Qura projection
2031,2031-04-20,Umm al-Qura projection
2032,2032-04-08,Umm al-Qura projection
2033,2033-03-28,Umm al-Qura projection
2034,2034-03-17,Umm al-Qura projection
2035,2035-03-06,Umm al-Qura projection
2036,2036-02-23,Umm al-Qura projection
2037,2037-02-11,Umm al-Qura projection
2038,2038-01-31,Umm al-Qura projection
2039,2039-01-20,Umm al-Qura projection
# 2040: two 1 Muharram occurrences (~Jan 9 AH 1462 and ~Dec 29 AH 1463); Jan 9 recorded
2040,2040-01-09,Umm al-Qura projection (January occurrence only; December occurrence omitted)
2041,2041-12-18,Umm al-Qura projection
2042,2042-12-07,Umm al-Qura projection
2043,2043-11-26,Umm al-Qura projection
2044,2044-11-14,Umm al-Qura projection
2045,2045-11-03,Umm al-Qura projection
2046,2046-10-23,Umm al-Qura projection
2047,2047-10-12,Umm al-Qura projection
2048,2048-09-30,Umm al-Qura projection
2049,2049-09-19,Umm al-Qura projection
2050,2050-09-08,Umm al-Qura projection
2051,2051-08-28,Umm al-Qura projection
2052,2052-08-16,Umm al-Qura projection
2053,2053-08-05,Umm al-Qura projection
2054,2054-07-25,Umm al-Qura projection
2055,2055-07-14,Umm al-Qura projection
